# Run Date: 2025-06-09 20:13:37
# Command: mimi_kegg_extract -l 40 -u 1000 -o data/processed/kegg_compounds_40_1000Da_v3.tsv
# Number ofcompounds: 16089     
#
# compound         KEGG Compound Database
# cpd              Release 114.0+/06-09, Jun 25
#                  Kanehisa Laboratories
# 
# Mass range: 40.0-1000.0 Da
#
CF	ID	Name
C7H15NOS	C19095	Ethiolate
C5H6O4	C00490	Itaconate
C7H4N2O7	C11319	3,5-Dinitrosalicylic acid
C4H8Cl3O4P	C07971	Metrifonate
C15H20O3	C17887	Atractylenolide III
C30H42N2O2S	C09990	Thiobinupharidine
C15H13NO2	C14678	5-Hydroxy-2-acetamidofluorene
C13H12BrCl2N3O	C18704	Bromuconazole
C23H30N2O	C22760	Butyrlfentanyl
C24H32O7	C09111	Inflexin
C6H11O8P	C16848	6-Deoxy-5-ketofructose 1-phosphate
C8H9NO4	C04773	3-Hydroxy-4-hydroxymethyl-2-methylpyridine-5-carboxylate
C8H16NO9P	C18060	N-Acetyl-alpha-D-galactosamine 1-phosphate
C7H9ClO6P2S	C08141	Tiludronic acid
C22H24O8	C13680	Lophotoxin
C30H38O2	C21768	4,4'-Diapolycopen-4-oate
C7H10O6	C00944	3-Dehydroquinate
C20H34O5	C05959	11-epi-Prostaglandin F2alpha
C22H26N2O3	C17872	Corynantheine
C30H46N5O4	C22319	1-Tuberculosinyladenosine
C10H10O5	C05619	5-Hydroxyferulic acid
C17H25N3O17P2	C20849	UDP-2-acetamido-3-dehydro-2-deoxy-alpha-D-glucopyranose
C22H24O9	C14942	2-(2,4,5-Trimethoxyphenyl)-5,6,7,8-tetramethoxy-4H-1-benzopyran-4-one
C15H22O3	C07020	Gemfibrozil
C24H51NO7P	C04102	1-Palmitoylglycerophosphocholine
C6H6O4	C20900	5-(Dihydroxymethyl)furan-2-carbaldehyde
C12H11ClN2O5S	C07017	Furosemide
C27H44O	C00599	Cholest-4-en-3-one
C17H20O5	C09496	Linifolin A
C17H19N5O6S	C18439	Cyclosulfamuron
C15H22BrClO	C17118	Elatol
C6H8O7	C20889	D-Galactaro-1,5-lactone
C33H54O11	C09078	Cotylenin F
C15H22O	C17914	Nootkatone
C12H22O4	C14523	Diisopropyl adipate
